"File","Bubble","Repeat","Star","SeqBound"
"LA10.html","True","False","False","False"
"LA17.html","False","False","False","False"
"LA2.html","False","False","True","False"
"LA20.html","False","False","False","False"
"LA22.html","False","False","False","False"
"LA23.html","False","False","False","False"
"LA4.html","True","True","True","True"
"LA5.html","True","True","True","True"
"LA6.html","True","True","True","True"
"LA7.html","True","True","True","True"
"LA8.html","False","False","True","True"
"LB10.html","False","False","True","False"
"LB11.html","False","False","True","False"
"LB12.html","False","False","True","False"
"LB13.html","False","False","True","False"
"LB14.html","False","False","True","False"
"LB15.html","False","False","False","False"
"LB16.html","True","False","True","False"
"LB17.html","True","False","True","False"
"LB18.html","True","False","True","False"
"LB19.html","True","False","True","False"
"LB2.html","False","False","True","False"
"LB20.html","True","False","True","False"
"LB23.html","True","False","True","False"
"LB24.html","True","False","False","False"
"LB25.html","True","False","False","False"
"LB4.html","False","False","True","False"
"LB5.html","False","False","True","False"
"LB6.html","False","False","True","False"
"LB7.html","False","False","True","False"
"LB8.html","False","False","True","False"
"Level_A_Drag&DopWK2.html","False","False","False","False"
"LevelAHomeP.html","False","False","True","False"
"LevelB1Vertices11.html","False","False","True","False"
"LevelB1Vertices3.html","False","False","True","False"
"LevelB1Vertices4.html","False","False","True","False"
"LevelB1Vertices5.html","False","False","True","False"
"LevelB1Vertices6.html .html","False","False","True","False"
"LevelB1Vertices9.html","False","False","True","False"
"LevelBHomeP.html","False","False","True","False"
"LevelC1.html","False","False","True","False"
"LevelC10.html","False","False","False","False"
"LevelC11.html","False","False","False","False"
"LevelC12.html","False","False","False","False"
"LevelC13.html","False","False","False","False"
"LevelC14.html","True","False","False","False"
"LevelC15.html","False","False","False","False"
"LevelC16.html","False","False","False","False"
"LevelC17.html","True","False","False","False"
"LevelC18.html","True","False","False","False"
"LevelC19.html","True","False","False","False"
"LevelC2.html","True","False","False","False"
"LevelC20.html","True","False","False","False"
"LevelC21.html","True","False","False","False"
"LevelC22.html","False","False","False","False"
"LevelC23.html","False","False","False","False"
"LevelC24.html","False","False","False","False"
"LevelC25.html","False","False","False","False"
"LevelC3.html","False","False","True","False"
"LevelC4.html","False","False","True","False"
"LevelC5.html","False","False","True","False"
"LevelC6.html","False","False","True","False"
"LevelC7.html","False","False","True","False"
"LevelCHPage.html","False","False","True","False"
